hora;potencia
0:30:00;50490
1:00:00;48500
1:30:00;49280
2:00:00;47130
0:00:00;54400
0:30:00;53370
1:00:00;49790
1:30:00;50530
2:00:00;48870
0:00:00;54770
0:30:00;57500
1:00:00;50210
1:30:00;50030
2:00:00;48530
0:00:00;54560
0:30:00;57420
1:00:00;51280
1:30:00;51580
2:00:00;50110
0:00:00;55150
0:30:00;53950
1:00:00;50900
1:30:00;50390
2:00:00;48820
0:00:00;53480
0:30:00;52960
1:00:00;49760
1:30:00;49470
2:00:00;46920
0:00:00;50470
0:30:00;48830
1:00:00;47340
1:30:00;46920
2:00:00;45040
0:00:00;49740
0:30:00;48640
1:00:00;46760
1:30:00;47150
2:00:00;45850
0:00:00;54160
0:30:00;52480
1:00:00;50190
1:30:00;50680
2:00:00;48820
0:00:00;55120
0:30:00;53710
1:00:00;50390
1:30:00;50800
2:00:00;48590
0:00:00;55320
0:30:00;53480
1:00:00;51950
1:30:00;52160
2:00:00;48790
0:00:00;55290
0:30:00;54400
1:00:00;52180
1:30:00;52030
2:00:00;49100
0:00:00;54520
0:30:00;53380
1:00:00;50750
1:30:00;50470
2:00:00;48630
0:00:00;50770
0:30:00;50390
1:00:00;48100
1:30:00;47430
2:00:00;45230
0:00:00;50530
0:30:00;50300
1:00:00;47660
1:30:00;47970
2:00:00;45440
0:00:00;54120
0:30:00;53040
1:00:00;50540
1:30:00;50420
2:00:00;48590
0:00:00;53690
0:30:00;52840
1:00:00;49670
1:30:00;49800
2:00:00;48280
0:00:00;54120
0:30:00;53190
1:00:00;50480
1:30:00;50880
2:00:00;49210
0:00:00;54150
0:30:00;53860
1:00:00;51110
1:30:00;50570
2:00:00;48820
0:00:00;53970
0:30:00;51460
1:00:00;48650
1:30:00;48190
2:00:00;46160
0:00:00;50010
0:30:00;49790
1:00:00;45310
1:30:00;46290
2:00:00;44080
0:00:00;49760
0:30:00;48410
1:00:00;45760
1:30:00;46440
2:00:00;44070
0:00:00;53220
0:30:00;51600
1:00:00;49020
1:30:00;48470
